api_number,depth_top,depth_bot,thickness,porosity,coord_latitude,coord_longitude
42-007-30917,2301.24,3108.96,807.72,0.15,28.2776256,-96.9051397
42-007-30922,2406.396,2438.4,32.004,0.15,28.2819332,-96.8353282
42-015-30644,396.24,890.016,493.776,0.15,30.0197339,-96.4531383
42-015-30718,478.536,882.396,403.86,0.15,29.7458406,-96.2082026
42-015-31065,396.24,890.016,493.776,0.15,30.0082704,-96.4832776
42-025-00103,304.8,883.92,579.12,0.15,28.6618548,-97.7826798
42-025-00837,792.48,853.44,60.96,0.15,28.5348304,-97.8614887
42-025-01992,868.68,1274.064,405.384,0.15,28.2466987,-97.7592013
42-025-02322,528.5232,838.2,309.6768,0.15,28.586627,-97.8212586
42-025-20089,894.8928,1497.7872,602.8944,0.15,28.3209419,-97.5276307
42-025-30345,585.216,1389.888,804.672,0.15,28.2440778,-97.7607392
42-025-31007,792.48,1156.1064,363.6264,0.15,28.3267408,-97.776714
42-025-31479,624.84,8549.64,7924.8,0.15,28.5927109,-97.8541712
42-025-31513,609.6,1508.76,899.16,0.15,28.3870228,-97.4359519
42-025-31706,822.96,1200.912,377.952,0.15,28.2724204,-97.8092913
42-025-32007,533.4,853.44,320.04,0.15,28.5882474,-97.8574584
42-025-32035,1098.804,1509.9792,411.1752,0.15,28.3627792,-97.434727
42-025-32037,1156.716,1156.716,0,0.15,28.3199843,-97.769953
42-025-32042,1240.536,1275.588,35.052,0.15,28.3377206,-97.8110513
42-025-32090,1280.16,1280.16,0,0.15,28.2410965,-97.7600011
42-025-32121,1170.432,1633.728,463.296,0.15,28.3972562,-97.407871
42-025-32137,384.048,826.008,441.96,0.15,28.5045122,-97.8644558
42-025-32138,371.856,838.2,466.344,0.15,28.5088934,-97.8626621
42-025-32152,862.584,1288.6944,426.1104,0.15,28.1913785,-97.8039006
42-025-32157,890.016,1289.304,399.288,0.15,28.2419896,-97.7485375
42-025-32183,390.144,864.7176,474.5736,0.15,28.5085817,-97.8615735
42-025-32194,888.1872,1289.304,401.1168,0.15,28.2437133,-97.7464442
42-025-32227,527.304,844.296,316.992,0.15,28.573929,-97.8627201
42-025-32231,886.3584,1287.4752,401.1168,0.15,28.2452473,-97.7508024
42-025-32233,883.92,1285.0368,401.1168,0.15,28.2374387,-97.7555894
42-025-32240,920.1912,1277.7216,357.5304,0.15,28.3179945,-97.6768949
42-025-32243,890.016,1290.2184,400.2024,0.15,28.2474684,-97.7459695
42-025-32244,868.68,1336.548,467.868,0.15,28.2352145,-97.770261
42-025-32276,1103.376,1511.808,408.432,0.15,28.3694535,-97.4422216
42-025-32286,1109.472,1510.5888,401.1168,0.15,28.3817047,-97.451755
