api_number,depth_top,depth_bot,thickness,porosity
42-007-30917,2301.24,3108.96,807.72,0.15
42-007-30922,2406.396,2438.4,32.004,0.15
42-015-30644,396.24,890.016,493.776,0.15
42-015-30718,478.536,882.396,403.86,0.15
42-015-31065,396.24,890.016,493.776,0.15
42-025-00103,304.8,883.92,579.12,0.15
42-025-00837,792.48,853.44,60.96,0.15
42-025-01992,868.68,1274.064,405.384,0.15
42-025-02322,528.5232,838.2,309.6768,0.15
42-025-20089,894.8928,1497.7872,602.8944,0.15
42-025-30345,585.216,1389.888,804.672,0.15
42-025-31007,792.48,1156.1064,363.6264,0.15
42-025-31479,624.84,8549.64,7924.8,0.15
42-025-31513,609.6,1508.76,899.16,0.15
42-025-31706,822.96,1200.912,377.952,0.15
42-025-32007,533.4,853.44,320.04,0.15
42-025-32035,1098.804,1509.9792,411.1752,0.15
42-025-32037,1156.716,1156.716,0,0.15
42-025-32042,1240.536,1275.588,35.052,0.15
42-025-32090,1280.16,1280.16,0,0.15
42-025-32121,1170.432,1633.728,463.296,0.15
42-025-32137,384.048,826.008,441.96,0.15
42-025-32138,371.856,838.2,466.344,0.15
42-025-32152,862.584,1288.6944,426.1104,0.15
42-025-32157,890.016,1289.304,399.288,0.15
42-025-32183,390.144,864.7176,474.5736,0.15
42-025-32194,888.1872,1289.304,401.1168,0.15
42-025-32227,527.304,844.296,316.992,0.15
42-025-32231,886.3584,1287.4752,401.1168,0.15
42-025-32233,883.92,1285.0368,401.1168,0.15
42-025-32240,920.1912,1277.7216,357.5304,0.15
42-025-32243,890.016,1290.2184,400.2024,0.15
42-025-32244,868.68,1336.548,467.868,0.15
42-025-32276,1103.376,1511.808,408.432,0.15
42-025-32286,1109.472,1510.5888,401.1168,0.15
42-025-32303,1109.472,1510.5888,401.1168,0.15
42-025-32307,890.016,1290.2184,400.2024,0.15
42-025-32317,377.952,883.0056,505.0536,0.15
42-025-32344,374.2944,891.8448,517.5504,0.15
42-025-32360,680.9232,847.9536,167.0304,0.15
42-025-32389,1155.192,1155.192,0,0.15
42-025-32394,335.28,557.1744,221.8944,0.15
42-025-32400,548.64,883.92,335.28,0.15
42-025-32406,551.688,894.588,342.9,0.15
42-025-32436,1331.976,1629.7656,297.7896,0.15
42-025-32499,1173.48,1560.576,387.096,0.15
42-025-32530,674.8272,853.44,178.6128,0.15
42-025-32534,1313.688,1597.152,283.464,0.15
42-025-32540,1740.408,1740.408,0,0.15
42-025-32557,304.8,868.68,563.88,0.15
42-025-32602,743.712,1161.288,417.576,0.15
42-025-32619,701.04,975.36,274.32,0.15
42-025-32632,1027.176,1246.632,219.456,0.15
42-025-32653,914.4,1277.112,362.712,0.15
42-025-32699,1517.904,1517.904,0,0.15
42-025-32718,1507.5408,1507.5408,0,0.15
42-025-32767,950.976,1545.336,594.36,0.15
42-025-32770,937.26,1572.768,635.508,0.15
42-025-32772,1194.816,1478.28,283.464,0.15
42-025-32785,859.536,1409.7,550.164,0.15
42-025-32789,917.448,1600.2,682.752,0.15
42-025-32790,597.408,1374.648,777.24,0.15
42-025-32795,874.776,1411.224,536.448,0.15
42-025-32801,1194.816,1475.232,280.416,0.15
42-025-32821,899.16,1659.636,760.476,0.15
42-025-32822,871.728,1603.248,731.52,0.15
42-025-32847,1045.464,1802.892,757.428,0.15
42-025-32854,990.6,1639.824,649.224,0.15
42-025-32856,478.536,883.92,405.384,0.15
42-025-32874,1002.792,1722.12,719.328,0.15
42-025-32889,649.224,1048.512,399.288,0.15
42-025-32893,734.568,1193.292,458.724,0.15
42-025-32902,822.96,1310.64,487.68,0.15
42-025-32903,914.4,1341.12,426.72,0.15
42-025-32908,667.512,1095.756,428.244,0.15
42-025-32912,914.4,1371.6,457.2,0.15
42-025-32917,917.448,1694.688,777.24,0.15
42-025-32918,477.012,911.9616,434.9496,0.15
