well_id,depth_top,depth_bot,thickness,porosity
W01,1881,1981,100,0.13
W02,1855,1945,90,0.13
W03,1521,1581,60,0.16
W04,1592,1637,45,0.14
W05,1586,1631,45,0.17
W06,1855,1945,90,0.12
W07,1514,1569,55,0.13
W08,1533,1588,55,0.18
W09,1555,1595,40,0.14
W10,1561,1601,40,0.15
W11,1450,1500,50,0.12
W12,1457,1507,50,0.12
W13,1836,1926,90,0.19
W14,1827,1907,80,0.19
W15,1930,2000,70,0.16
W16,1589,1644,55,0.15
W17,1820,1910,90,0.17
W18,1835,1925,90,0.17
W19,1862,1972,110,0.17
W20,1499,1559,60,0.11
W21,1840,1925,85,0.15
W22,1836,1926,90,0.16
W23,1827,1907,80,0.11
W24,1639,1709,70,0.10
