name,depth_top,depth_bot,thickness,porosity
1-CA-1-PR,-987,-1060,73,
1-CA-2-PR,-1002,-1093,91,0.218
1-CA-3-PR,-1102,-1263,161,0.185
1-CS-2-PR,-2330,-2600,270,0.195
1-ES-1-RS,-2161,-2324,163,
1-ES-2-RS,-2133,-2295,162,0.162
1-GB-1-PR,-2180,-2454,274,
1-GP-1-PR,-2032,-2237,205,0.125
1-MA-1-SP,-1029,-1115,86,0.235
1-MB-1-SC,-1425,-1593,168,0.115
1-MC-1-RS,-2120,-2263,143,0.13
1-MC-2-SC,-1623,-1781,158,0.138
1-PH-1-PR,-1978,-2327,349,0.12
1-PT-1-PR,-2285,-2443,158,0.08
1-RCH-1-SC,-2353,-2421,68,0.1
1-RS-1-PR,-2351,-2537,186,0.127
1-SJQ-1-SC,-1596,-1768,172,0.135
1-TI-1-SP,-3315,-3335,20,0.18
1-TP-1-SC,-2171,-2308,137,0.153
1-TP-3-SC,-2223,-2356,133,
1-TV-2-SC,-1955,-2094,139,0.157
1-TV-3-SC,-1942,-2080,138,0.133
1-TV-4-SC,-1919,-2060,141,0.145
2-AA-1-SP,-1858,-1934,76,0.185
2-AO-1-RS,-2093,-2221,128,0.16
2-AR-1-SP,-1907,-1951,44,0.15
2-CA-1-SC,-1625,-1794,169,0.111
2-LA-1-SP,-2303,-2353,50,0.16
2-LV-1-RS,-2138,-2283,145,0.16
2-MC-1-SC,-1742,-1900,158,
2-MR-1-RS,-2035,-2137,102,
2-OL-1-SP,-1469,-1511,42,0.15
2-PI-1-SC,-2014,-2138,124,0.15
2-PP-1-SP,-2107,-2156,49,0.11
2-PU-1-SC,-1040,-1237,197,0.231
2-RI-1-RS,-1968,-2147,179,
2-TL-1-MS,-2610,-2635,25,0.15
2-UV-1-PR,-884,-1091,207,0.17
3-MC-3-SC,-1623,-1788,165,
